SndOrRecOrDrop  time  type  seq  size  ack
Send  1.144  数据包  132  104  0
Receive  1.144  普通应答包  0  0  132
Drop  1.144  数据包  52  104  0
Drop  1.144  数据包  131  104  0
Send  1.144  数据包  133  104  0
Receive  1.145  普通应答包  0  0  133
Send  1.147  数据包  134  104  0
Receive  1.148  普通应答包  0  0  134
Send  1.148  数据包  135  104  0
Send  1.148  数据包  136  104  0
Send  1.149  数据包  102  104  0
Send  1.152  数据包  137  104  0
Receive  1.154  普通应答包  0  0  135
Receive  1.155  普通应答包  0  0  136
Receive  1.155  普通应答包  0  0  102
Receive  1.155  普通应答包  0  0  137
Send  1.158  数据包  138  104  0
Receive  1.158  普通应答包  0  0  138
Drop  1.158  数据包  139  104  0
Send  1.159  数据包  140  104  0
Send  1.159  数据包  113  104  0
Receive  1.159  普通应答包  0  0  140
Receive  1.159  普通应答包  0  0  113
Drop  1.159  数据包  141  104  0
Send  1.159  数据包  115  104  0
Receive  1.159  普通应答包  0  0  115
Drop  1.159  数据包  119  104  0
Send  1.16  数据包  142  104  0
Receive  1.16  普通应答包  0  0  142
Send  1.163  数据包  143  104  0
Receive  1.163  普通应答包  0  0  143
Send  1.163  数据包  144  104  0
Receive  1.164  普通应答包  0  0  144
Send  1.164  数据包  146  104  0
Receive  1.164  普通应答包  0  0  146
Send  1.164  数据包  145  104  0
Receive  1.164  普通应答包  0  0  145
Drop  1.168  数据包  148  104  0
Send  1.168  数据包  125  104  0
Receive  1.168  普通应答包  0  0  125
Drop  1.168  数据包  149  104  0
Send  1.168  数据包  150  104  0
Receive  1.168  普通应答包  0  0  150
Send  1.169  数据包  130  104  0
Receive  1.169  普通应答包  0  0  130
Send  1.169  数据包  147  104  0
Receive  1.169  普通应答包  0  0  147
Send  1.172  数据包  153  104  0
Send  1.172  数据包  154  104  0
Receive  1.173  普通应答包  0  0  153
Receive  1.173  普通应答包  0  0  154
Send  1.173  数据包  151  104  0
Receive  1.173  普通应答包  0  0  151
Send  1.173  数据包  152  104  0
Receive  1.173  普通应答包  0  0  152
Send  1.173  数据包  155  104  0
Receive  1.174  普通应答包  0  0  155
Send  1.174  数据包  156  104  0
Receive  1.174  普通应答包  0  0  156
Send  1.174  数据包  157  104  0
Receive  1.174  普通应答包  0  0  157
Send  1.174  数据包  52  104  0
Receive  1.174  普通应答包  0  0  52
Send  1.174  数据包  131  104  0
Receive  1.174  普通应答包  0  0  131
Send  1.177  数据包  160  104  0
Receive  1.178  普通应答包  0  0  160
Send  1.178  数据包  161  104  0
Receive  1.178  普通应答包  0  0  161
Send  1.178  数据包  159  104  0
Receive  1.178  普通应答包  0  0  159
Drop  1.178  数据包  162  104  0
Send  1.178  数据包  163  104  0
Receive  1.179  普通应答包  0  0  163
Send  1.179  数据包  158  104  0
Receive  1.179  普通应答包  0  0  158
Send  1.182  数据包  164  104  0
Send  1.182  数据包  166  104  0
Receive  1.182  普通应答包  0  0  164
Receive  1.182  普通应答包  0  0  166
Drop  1.182  数据包  167  104  0
Send  1.182  数据包  168  104  0
Receive  1.183  普通应答包  0  0  168
Send  1.183  数据包  165  104  0
Receive  1.183  普通应答包  0  0  165
Send  1.185  数据包  171  104  0
Receive  1.185  普通应答包  0  0  171
Drop  1.186  数据包  170  104  0
Send  1.186  数据包  172  104  0
Receive  1.186  普通应答包  0  0  172
Send  1.19  数据包  169  104  0
Receive  1.19  普通应答包  0  0  169
Send  1.191  数据包  119  104  0
Receive  1.191  普通应答包  0  0  119
Drop  1.191  数据包  139  104  0
Send  1.191  数据包  173  104  0
Receive  1.192  普通应答包  0  0  173
Send  1.192  数据包  141  104  0
Receive  1.192  普通应答包  0  0  141
Send  1.193  数据包  177  104  0
Receive  1.193  普通应答包  0  0  177
Send  1.193  数据包  174  104  0
Receive  1.193  普通应答包  0  0  174
Drop  1.194  数据包  178  104  0
Send  1.194  数据包  176  104  0
Receive  1.194  普通应答包  0  0  176
Send  1.194  数据包  175  104  0
Receive  1.194  普通应答包  0  0  175
Send  1.199  数据包  148  104  0
Receive  1.199  普通应答包  0  0  148
Send  1.2  数据包  180  104  0
Receive  1.2  普通应答包  0  0  180
Send  1.2  数据包  149  104  0
Receive  1.2  普通应答包  0  0  149
Send  1.2  数据包  185  104  0
Receive  1.201  普通应答包  0  0  185
Send  1.201  数据包  184  104  0
Receive  1.201  普通应答包  0  0  184
Send  1.201  数据包  182  104  0
Receive  1.201  普通应答包  0  0  182
Send  1.201  数据包  179  104  0
Receive  1.201  普通应答包  0  0  179
Send  1.202  数据包  183  104  0
Receive  1.202  普通应答包  0  0  183
Send  1.202  数据包  181  104  0
Receive  1.202  普通应答包  0  0  181
Send  1.206  数据包  190  104  0
Receive  1.206  普通应答包  0  0  190
Send  1.206  数据包  191  104  0
Receive  1.207  普通应答包  0  0  191
Send  1.207  数据包  162  104  0
Receive  1.207  普通应答包  0  0  162
Send  1.207  数据包  187  104  0
Receive  1.208  普通应答包  0  0  187
Drop  1.208  数据包  188  104  0
Send  1.208  数据包  189  104  0
Receive  1.209  普通应答包  0  0  189
Drop  1.209  数据包  186  104  0
Send  1.211  数据包  195  104  0
Receive  1.212  普通应答包  0  0  195
Send  1.213  数据包  167  104  0
Send  1.214  数据包  192  104  0
Receive  1.214  普通应答包  0  0  167
Receive  1.214  普通应答包  0  0  192
Drop  1.214  数据包  193  104  0
Send  1.214  数据包  170  104  0
Send  1.215  数据包  194  104  0
Send  1.215  数据包  197  104  0
Receive  1.215  普通应答包  0  0  170
Receive  1.216  普通应答包  0  0  194
Receive  1.217  普通应答包  0  0  197
Send  1.222  数据包  198  104  0
Receive  1.224  普通应答包  0  0  198
Send  1.225  数据包  201  104  0
Receive  1.226  普通应答包  0  0  201
Send  1.226  数据包  202  104  0
Send  1.226  数据包  203  104  0
Receive  1.226  普通应答包  0  0  202
Receive  1.226  普通应答包  0  0  203
Send  1.226  数据包  178  104  0
Send  1.227  数据包  139  104  0
Receive  1.227  普通应答包  0  0  178
Receive  1.227  普通应答包  0  0  139
Drop  1.227  数据包  199  104  0
Send  1.227  数据包  196  104  0
Receive  1.227  普通应答包  0  0  196
Send  1.227  数据包  200  104  0
Receive  1.228  普通应答包  0  0  200
Drop  1.228  数据包  209  104  0
Send  1.228  数据包  207  104  0
Receive  1.229  普通应答包  0  0  207
Send  1.229  数据包  204  104  0
Receive  1.229  普通应答包  0  0  204
Send  1.229  数据包  205  104  0
Receive  1.229  普通应答包  0  0  205
Send  1.229  数据包  206  104  0
Receive  1.23  普通应答包  0  0  206
Send  1.23  数据包  208  104  0
Receive  1.23  普通应答包  0  0  208
Drop  1.231  数据包  213  104  0
Send  1.231  数据包  215  104  0
Receive  1.231  普通应答包  0  0  215
Send  1.232  数据包  212  104  0
Receive  1.232  普通应答包  0  0  212
Send  1.232  数据包  211  104  0
Receive  1.233  普通应答包  0  0  211
Send  1.233  数据包  214  104  0
Receive  1.233  普通应答包  0  0  214
Drop  1.233  数据包  210  104  0
Send  1.236  数据包  219  104  0
Receive  1.236  普通应答包  0  0  219
Send  1.236  数据包  188  104  0
Receive  1.236  普通应答包  0  0  188
Send  1.236  数据包  216  104  0
Receive  1.236  普通应答包  0  0  216
Send  1.237  数据包  217  104  0
Receive  1.237  普通应答包  0  0  217
Send  1.237  数据包  218  104  0
Receive  1.237  普通应答包  0  0  218
Send  1.237  数据包  186  104  0
Receive  1.238  普通应答包  0  0  186
Send  1.249  数据包  220  104  0
Receive  1.25  普通应答包  0  0  220
Send  1.25  数据包  223  104  0
Receive  1.25  普通应答包  0  0  223
Send  1.251  数据包  193  104  0
Receive  1.251  普通应答包  0  0  193
Send  1.251  数据包  224  104  0
Receive  1.251  普通应答包  0  0  224
Send  1.252  数据包  221  104  0
Receive  1.252  普通应答包  0  0  221
Drop  1.252  数据包  199  104  0
Drop  1.252  数据包  225  104  0
Drop  1.252  数据包  226  104  0
Send  1.252  数据包  222  104  0
Receive  1.253  普通应答包  0  0  222
Send  1.258  数据包  230  104  0
Send  1.258  数据包  227  104  0
Drop  1.258  数据包  231  104  0
Receive  1.258  普通应答包  0  0  230
Receive  1.259  普通应答包  0  0  227
Drop  1.259  数据包  229  104  0
Send  1.259  数据包  228  104  0
Receive  1.26  普通应答包  0  0  228
Drop  1.26  数据包  209  104  0
Send  1.26  数据包  210  104  0
Receive  1.26  普通应答包  0  0  210
Send  1.263  数据包  213  104  0
Receive  1.264  普通应答包  0  0  213
Send  1.264  数据包  234  104  0
Receive  1.264  普通应答包  0  0  234
Send  1.265  数据包  236  104  0
Receive  1.265  普通应答包  0  0  236
Drop  1.265  数据包  237  104  0
Send  1.265  数据包  232  104  0
Receive  1.266  普通应答包  0  0  232
Drop  1.266  数据包  235  104  0
Send  1.266  数据包  233  104  0
Receive  1.266  普通应答包  0  0  233
Send  1.272  数据包  240  104  0
Receive  1.272  普通应答包  0  0  240
Send  1.272  数据包  238  104  0
Receive  1.272  普通应答包  0  0  238
Send  1.273  数据包  225  104  0
Receive  1.273  普通应答包  0  0  225
Send  1.273  数据包  242  104  0
Receive  1.273  普通应答包  0  0  242
Drop  1.273  数据包  239  104  0
Send  1.273  数据包  241  104  0
Receive  1.274  普通应答包  0  0  241
Drop  1.277  数据包  244  104  0
Send  1.277  数据包  245  104  0
Receive  1.277  普通应答包  0  0  245
Drop  1.277  数据包  243  104  0
Send  1.28  数据包  246  104  0
Receive  1.28  普通应答包  0  0  246
Drop  1.28  数据包  199  104  0
Send  1.283  数据包  247  104  0
Receive  1.283  普通应答包  0  0  247
Send  1.283  数据包  226  104  0
Receive  1.283  普通应答包  0  0  226
Send  1.286  数据包  248  104  0
Send  1.286  数据包  249  104  0
Receive  1.286  普通应答包  0  0  248
Send  1.286  数据包  231  104  0
Receive  1.286  普通应答包  0  0  249
Receive  1.286  普通应答包  0  0  231
Send  1.286  数据包  229  104  0
Receive  1.286  普通应答包  0  0  229
Send  1.289  数据包  252  104  0
Receive  1.289  普通应答包  0  0  252
Send  1.29  数据包  253  104  0
Receive  1.29  普通应答包  0  0  253
Send  1.291  数据包  209  104  0
Receive  1.291  普通应答包  0  0  209
Send  1.291  数据包  255  104  0
Send  1.292  数据包  254  104  0
Receive  1.292  普通应答包  0  0  255
Receive  1.292  普通应答包  0  0  254
Drop  1.292  数据包  251  104  0
Send  1.292  数据包  250  104  0
Receive  1.292  普通应答包  0  0  250
Send  1.294  数据包  257  104  0
Receive  1.294  普通应答包  0  0  257
Send  1.294  数据包  256  104  0
Receive  1.295  普通应答包  0  0  256
Send  1.295  数据包  259  104  0
Drop  1.295  数据包  235  104  0
Receive  1.295  普通应答包  0  0  259
Send  1.295  数据包  258  104  0
Receive  1.295  普通应答包  0  0  258
Send  1.297  数据包  261  104  0
Receive  1.297  普通应答包  0  0  261
Send  1.297  数据包  262  104  0
Receive  1.298  普通应答包  0  0  262
Drop  1.298  数据包  237  104  0
Drop  1.298  数据包  260  104  0
Send  1.298  数据包  263  104  0
Send  1.298  数据包  239  104  0
Receive  1.298  普通应答包  0  0  263
Receive  1.299  普通应答包  0  0  239
Drop  1.302  数据包  267  104  0
Send  1.302  数据包  265  104  0
Send  1.302  数据包  264  104  0
Receive  1.302  普通应答包  0  0  265
Send  1.302  数据包  266  104  0
Receive  1.302  普通应答包  0  0  264
Receive  1.302  普通应答包  0  0  266
Send  1.306  数据包  268  104  0
Send  1.306  数据包  270  104  0
Receive  1.306  普通应答包  0  0  268
Receive  1.306  普通应答包  0  0  270
Send  1.306  数据包  244  104  0
Receive  1.306  普通应答包  0  0  244
Send  1.306  数据包  269  104  0
Receive  1.307  普通应答包  0  0  269
Send  1.307  数据包  243  104  0
Receive  1.307  普通应答包  0  0  243
Drop  1.309  数据包  272  104  0
Drop  1.309  数据包  274  104  0
Send  1.309  数据包  271  104  0
Send  1.309  数据包  199  104  0
Send  1.309  数据包  275  104  0
Receive  1.309  普通应答包  0  0  271
Receive  1.31  普通应答包  0  0  199
Receive  1.31  普通应答包  0  0  275
Drop  1.31  数据包  273  104  0
Send  1.312  数据包  276  104  0
Send  1.312  数据包  278  104  0
Receive  1.312  普通应答包  0  0  276
Receive  1.313  普通应答包  0  0  278
Drop  1.313  数据包  277  104  0
Send  1.315  数据包  280  104  0
Receive  1.316  普通应答包  0  0  280
Send  1.316  数据包  279  104  0
Receive  1.316  普通应答包  0  0  279
Send  1.319  数据包  282  104  0
Receive  1.32  普通应答包  0  0  282
Send  1.32  数据包  251  104  0
Receive  1.32  普通应答包  0  0  251
Send  1.32  数据包  281  104  0
Receive  1.32  普通应答包  0  0  281
Drop  1.325  数据包  285  104  0
Send  1.325  数据包  283  104  0
Send  1.325  数据包  284  104  0
Receive  1.325  普通应答包  0  0  283
Receive  1.326  普通应答包  0  0  284
Send  1.326  数据包  235  104  0
Receive  1.326  普通应答包  0  0  235
Drop  1.328  数据包  237  104  0
Send  1.328  数据包  260  104  0
Receive  1.329  普通应答包  0  0  260
Send  1.329  数据包  287  104  0
Receive  1.329  普通应答包  0  0  287
Drop  1.329  数据包  288  104  0
Send  1.329  数据包  286  104  0
Receive  1.329  普通应答包  0  0  286
Send  1.332  数据包  267  104  0
Send  1.332  数据包  290  104  0
Receive  1.332  普通应答包  0  0  267
Send  1.333  数据包  289  104  0
Receive  1.333  普通应答包  0  0  290
Receive  1.333  普通应答包  0  0  289
Drop  1.333  数据包  291  104  0
Send  1.335  数据包  293  104  0
Send  1.335  数据包  294  104  0
Receive  1.335  普通应答包  0  0  293
Send  1.335  数据包  292  104  0
Receive  1.335  普通应答包  0  0  294
Receive  1.336  普通应答包  0  0  292
Send  1.344  数据包  272  104  0
Send  1.344  数据包  274  104  0
Receive  1.344  普通应答包  0  0  272
Receive  1.344  普通应答包  0  0  274
Drop  1.344  数据包  297  104  0
Drop  1.344  数据包  273  104  0
Send  1.344  数据包  295  104  0
Receive  1.345  普通应答包  0  0  295
Send  1.345  数据包  277  104  0
Receive  1.345  普通应答包  0  0  277
Send  1.345  数据包  296  104  0
Receive  1.345  普通应答包  0  0  296
Drop  1.348  数据包  299  104  0
Send  1.349  数据包  302  104  0
Receive  1.349  普通应答包  0  0  302
Drop  1.349  数据包  298  104  0
Send  1.349  数据包  300  104  0
Receive  1.349  普通应答包  0  0  300
Drop  1.349  数据包  301  104  0
Send  1.352  数据包  304  104  0
Send  1.352  数据包  303  104  0
Receive  1.352  普通应答包  0  0  304
Receive  1.352  普通应答包  0  0  303
Send  1.358  数据包  285  104  0
Drop  1.358  数据包  305  104  0
Drop  1.358  数据包  306  104  0
Receive  1.358  普通应答包  0  0  285
Send  1.36  数据包  288  104  0
Send  1.36  数据包  307  104  0
Receive  1.36  普通应答包  0  0  288
Send  1.36  数据包  237  104  0
Receive  1.36  普通应答包  0  0  307
Receive  1.36  普通应答包  0  0  237
Send  1.363  数据包  309  104  0
Drop  1.363  数据包  291  104  0
Receive  1.363  普通应答包  0  0  309
Send  1.363  数据包  310  104  0
Receive  1.363  普通应答包  0  0  310
Send  1.363  数据包  308  104  0
Receive  1.363  普通应答包  0  0  308
Send  1.366  数据包  311  104  0
Receive  1.367  普通应答包  0  0  311
Drop  1.367  数据包  312  104  0
Send  1.367  数据包  313  104  0
Receive  1.367  普通应答包  0  0  313
Send  1.37  数据包  315  104  0
Receive  1.37  普通应答包  0  0  315
Send  1.37  数据包  297  104  0
Receive  1.37  普通应答包  0  0  297
Send  1.37  数据包  273  104  0
Receive  1.37  普通应答包  0  0  273
Drop  1.37  数据包  314  104  0
Send  1.373  数据包  316  104  0
Send  1.373  数据包  318  104  0
Receive  1.373  普通应答包  0  0  316
Send  1.373  数据包  317  104  0
Receive  1.373  普通应答包  0  0  318
Receive  1.373  普通应答包  0  0  317
Drop  1.376  数据包  319  104  0
Send  1.376  数据包  320  104  0
Send  1.376  数据包  321  104  0
Receive  1.376  普通应答包  0  0  320
Receive  1.376  普通应答包  0  0  321
Drop  1.38  数据包  322  104  0
Send  1.38  数据包  323  104  0
Receive  1.38  普通应答包  0  0  323
Send  1.38  数据包  299  104  0
Receive  1.38  普通应答包  0  0  299
Send  1.381  数据包  298  104  0
Receive  1.381  普通应答包  0  0  298
