SndOrRecOrDrop  time  type  seq  size  ack
Receive  8.685  数据包  129  104  0
Send  8.685  普通应答包  0  0  129
Receive  8.685  数据包  127  104  0
Send  8.685  普通应答包  0  0  127
Receive  8.686  数据包  128  104  0
Send  8.686  普通应答包  0  0  128
Receive  8.688  数据包  75  104  0
Send  8.688  普通应答包  0  0  75
Receive  8.689  数据包  132  104  0
Send  8.689  普通应答包  0  0  132
Receive  8.69  数据包  133  104  0
Send  8.69  普通应答包  0  0  133
Receive  8.693  数据包  134  104  0
Send  8.693  普通应答包  0  0  134
Receive  8.699  数据包  135  104  0
Send  8.699  普通应答包  0  0  135
Receive  8.7  数据包  136  104  0
Send  8.7  普通应答包  0  0  136
Receive  8.7  数据包  102  104  0
Send  8.7  普通应答包  0  0  102
Receive  8.7  数据包  137  104  0
Send  8.7  普通应答包  0  0  137
Receive  8.703  数据包  138  104  0
Send  8.703  普通应答包  0  0  138
Receive  8.704  数据包  140  104  0
Send  8.704  普通应答包  0  0  140
Receive  8.704  数据包  113  104  0
Send  8.704  普通应答包  0  0  113
Receive  8.704  数据包  115  104  0
Send  8.704  普通应答包  0  0  115
Receive  8.705  数据包  142  104  0
Send  8.705  普通应答包  0  0  142
Receive  8.708  数据包  143  104  0
Send  8.708  普通应答包  0  0  143
Receive  8.708  数据包  144  104  0
Send  8.709  普通应答包  0  0  144
Receive  8.709  数据包  146  104  0
Send  8.709  普通应答包  0  0  146
Receive  8.709  数据包  145  104  0
Send  8.709  普通应答包  0  0  145
Receive  8.713  数据包  125  104  0
Send  8.713  普通应答包  0  0  125
Receive  8.713  数据包  150  104  0
Send  8.713  普通应答包  0  0  150
Receive  8.714  数据包  130  104  0
Send  8.714  普通应答包  0  0  130
Receive  8.714  数据包  147  104  0
Send  8.714  普通应答包  0  0  147
Receive  8.717  数据包  153  104  0
Send  8.717  普通应答包  0  0  153
Receive  8.718  数据包  154  104  0
Send  8.718  普通应答包  0  0  154
Receive  8.718  数据包  151  104  0
Send  8.718  普通应答包  0  0  151
Receive  8.718  数据包  152  104  0
Send  8.718  普通应答包  0  0  152
Receive  8.718  数据包  155  104  0
Send  8.719  普通应答包  0  0  155
Receive  8.719  数据包  156  104  0
Send  8.719  普通应答包  0  0  156
Receive  8.719  数据包  157  104  0
Send  8.719  普通应答包  0  0  157
Receive  8.719  数据包  52  104  0
Send  8.719  普通应答包  0  0  52
Receive  8.719  数据包  131  104  0
Send  8.719  普通应答包  0  0  131
Receive  8.722  数据包  160  104  0
Send  8.723  普通应答包  0  0  160
Receive  8.723  数据包  161  104  0
Send  8.723  普通应答包  0  0  161
Receive  8.723  数据包  159  104  0
Send  8.723  普通应答包  0  0  159
Receive  8.724  数据包  163  104  0
Send  8.724  普通应答包  0  0  163
Receive  8.724  数据包  158  104  0
Send  8.724  普通应答包  0  0  158
Receive  8.727  数据包  164  104  0
Send  8.727  普通应答包  0  0  164
Receive  8.727  数据包  166  104  0
Send  8.727  普通应答包  0  0  166
Receive  8.728  数据包  168  104  0
Send  8.728  普通应答包  0  0  168
Receive  8.728  数据包  165  104  0
Send  8.728  普通应答包  0  0  165
Receive  8.73  数据包  171  104  0
Send  8.73  普通应答包  0  0  171
Receive  8.731  数据包  172  104  0
Send  8.731  普通应答包  0  0  172
Receive  8.735  数据包  169  104  0
Send  8.735  普通应答包  0  0  169
Receive  8.736  数据包  119  104  0
Send  8.736  普通应答包  0  0  119
Receive  8.736  数据包  173  104  0
Send  8.737  普通应答包  0  0  173
Receive  8.737  数据包  141  104  0
Send  8.737  普通应答包  0  0  141
Receive  8.738  数据包  177  104  0
Send  8.738  普通应答包  0  0  177
Receive  8.738  数据包  174  104  0
Send  8.738  普通应答包  0  0  174
Receive  8.739  数据包  176  104  0
Send  8.739  普通应答包  0  0  176
Receive  8.739  数据包  175  104  0
Send  8.739  普通应答包  0  0  175
Receive  8.744  数据包  148  104  0
Send  8.744  普通应答包  0  0  148
Receive  8.745  数据包  180  104  0
Send  8.745  普通应答包  0  0  180
Receive  8.745  数据包  149  104  0
Send  8.745  普通应答包  0  0  149
Receive  8.746  数据包  185  104  0
Send  8.746  普通应答包  0  0  185
Receive  8.746  数据包  184  104  0
Send  8.746  普通应答包  0  0  184
Receive  8.746  数据包  182  104  0
Send  8.746  普通应答包  0  0  182
Receive  8.746  数据包  179  104  0
Send  8.746  普通应答包  0  0  179
Receive  8.747  数据包  183  104  0
Send  8.747  普通应答包  0  0  183
Receive  8.747  数据包  181  104  0
Send  8.747  普通应答包  0  0  181
Receive  8.751  数据包  190  104  0
Send  8.751  普通应答包  0  0  190
Receive  8.752  数据包  191  104  0
Send  8.752  普通应答包  0  0  191
Receive  8.752  数据包  162  104  0
Send  8.752  普通应答包  0  0  162
Receive  8.753  数据包  187  104  0
Send  8.753  普通应答包  0  0  187
Receive  8.753  数据包  189  104  0
Send  8.754  普通应答包  0  0  189
Receive  8.756  数据包  195  104  0
Send  8.757  普通应答包  0  0  195
Receive  8.759  数据包  167  104  0
Send  8.759  普通应答包  0  0  167
Receive  8.759  数据包  192  104  0
Send  8.759  普通应答包  0  0  192
Receive  8.76  数据包  170  104  0
Send  8.76  普通应答包  0  0  170
Receive  8.76  数据包  194  104  0
Send  8.76  普通应答包  0  0  194
Receive  8.761  数据包  197  104  0
Send  8.762  普通应答包  0  0  197
Receive  8.768  数据包  198  104  0
Send  8.768  普通应答包  0  0  198
Receive  8.771  数据包  201  104  0
Send  8.771  普通应答包  0  0  201
Receive  8.771  数据包  202  104  0
Send  8.771  普通应答包  0  0  202
Receive  8.771  数据包  203  104  0
Send  8.771  普通应答包  0  0  203
Receive  8.772  数据包  178  104  0
Send  8.772  普通应答包  0  0  178
Receive  8.772  数据包  139  104  0
Send  8.772  普通应答包  0  0  139
Receive  8.772  数据包  196  104  0
Send  8.772  普通应答包  0  0  196
Receive  8.773  数据包  200  104  0
Send  8.773  普通应答包  0  0  200
Receive  8.773  数据包  207  104  0
Send  8.774  普通应答包  0  0  207
Receive  8.774  数据包  204  104  0
Send  8.774  普通应答包  0  0  204
Receive  8.774  数据包  205  104  0
Send  8.774  普通应答包  0  0  205
Receive  8.775  数据包  206  104  0
Send  8.775  普通应答包  0  0  206
Receive  8.775  数据包  208  104  0
Send  8.775  普通应答包  0  0  208
Receive  8.776  数据包  215  104  0
Send  8.776  普通应答包  0  0  215
Receive  8.777  数据包  212  104  0
Send  8.777  普通应答包  0  0  212
Receive  8.777  数据包  211  104  0
Send  8.778  普通应答包  0  0  211
Receive  8.778  数据包  214  104  0
Send  8.778  普通应答包  0  0  214
Receive  8.781  数据包  219  104  0
Send  8.781  普通应答包  0  0  219
Receive  8.781  数据包  188  104  0
Send  8.781  普通应答包  0  0  188
Receive  8.781  数据包  216  104  0
Send  8.781  普通应答包  0  0  216
Receive  8.782  数据包  217  104  0
Send  8.782  普通应答包  0  0  217
Receive  8.782  数据包  218  104  0
Send  8.782  普通应答包  0  0  218
Receive  8.783  数据包  186  104  0
Send  8.783  普通应答包  0  0  186
Receive  8.795  数据包  220  104  0
Send  8.795  普通应答包  0  0  220
Receive  8.795  数据包  223  104  0
Send  8.795  普通应答包  0  0  223
Receive  8.796  数据包  193  104  0
Send  8.796  普通应答包  0  0  193
Receive  8.796  数据包  224  104  0
Send  8.796  普通应答包  0  0  224
Receive  8.797  数据包  221  104  0
Send  8.797  普通应答包  0  0  221
Receive  8.797  数据包  222  104  0
Send  8.798  普通应答包  0  0  222
Receive  8.803  数据包  230  104  0
Send  8.803  普通应答包  0  0  230
Receive  8.804  数据包  227  104  0
Send  8.804  普通应答包  0  0  227
Receive  8.805  数据包  228  104  0
Send  8.805  普通应答包  0  0  228
Receive  8.805  数据包  210  104  0
Send  8.805  普通应答包  0  0  210
Receive  8.808  数据包  213  104  0
Send  8.809  普通应答包  0  0  213
Receive  8.809  数据包  234  104  0
Send  8.809  普通应答包  0  0  234
Receive  8.81  数据包  236  104  0
Send  8.81  普通应答包  0  0  236
Receive  8.811  数据包  232  104  0
Send  8.811  普通应答包  0  0  232
Receive  8.811  数据包  233  104  0
Send  8.811  普通应答包  0  0  233
Receive  8.817  数据包  240  104  0
Send  8.817  普通应答包  0  0  240
Receive  8.817  数据包  238  104  0
Send  8.817  普通应答包  0  0  238
